acc1,acc2,acc3,acc4,acc5,mean_acc
0.5292096219931272,0.49828178694158076,0.5154639175257731,0.570446735395189,0.5773195876288659,0.5381443298969071
0.7594501718213058,0.8144329896907216,0.7869415807560137,0.7835051546391752,0.7903780068728522,0.7869415807560137
0.7972508591065293,0.8006872852233677,0.8144329896907216,0.8109965635738832,0.7835051546391752,0.8013745704467354
0.6907216494845361,0.6769759450171822,0.7319587628865979,0.7285223367697594,0.718213058419244,0.709278350515464
0.7285223367697594,0.7594501718213058,0.7697594501718213,0.7697594501718213,0.7491408934707904,0.7553264604810996
0.8762886597938144,0.8556701030927835,0.8900343642611683,0.8831615120274914,0.865979381443299,0.8742268041237115
0.9037800687285223,0.9243986254295533,0.9140893470790378,0.9140893470790378,0.9037800687285223,0.9120274914089347
0.7903780068728522,0.8144329896907216,0.7766323024054983,0.738831615120275,0.7560137457044673,0.7752577319587629
0.8591065292096219,0.8831615120274914,0.8213058419243986,0.8900343642611683,0.872852233676976,0.8652920962199312
0.6872852233676976,0.6116838487972509,0.6872852233676976,0.6769759450171822,0.7044673539518901,0.6735395189003437
0.9175257731958762,0.8900343642611683,0.9140893470790378,0.9209621993127147,0.9106529209621993,0.9106529209621993
0.9037800687285223,0.9037800687285223,0.9037800687285223,0.8762886597938144,0.8900343642611683,0.89553264604811
0.7353951890034365,0.7697594501718213,0.7800687285223368,0.7353951890034365,0.7457044673539519,0.7532646048109966
0.8797250859106529,0.872852233676976,0.865979381443299,0.8694158075601375,0.8865979381443299,0.8749140893470791
0.8390243902439024,0.8292682926829268,0.8048780487804879,0.8292682926829268,0.848780487804878,0.8302439024390245
0.848780487804878,0.848780487804878,0.8439024390243902,0.848780487804878,0.8097560975609757,0.8400000000000001
0.5365853658536586,0.6097560975609756,0.7024390243902439,0.5170731707317073,0.6390243902439025,0.6009756097560977
0.8634146341463415,0.7707317073170732,0.848780487804878,0.8780487804878049,0.8536585365853658,0.8429268292682928
